case_id,question,expected_answer,difficulty,type,challenge_tag,unanswerable,expected_retrieval_ids,source_documents,source_paths,context
golden_case_011,Danh mục nộp bài yêu cầu những tài liệu nào từ nhóm?,"Nhóm nộp 1 đường dẫn Repository chứa mã nguồn, báo cáo, và các tài liệu phân tích cá nhân.",medium,fact-check,submission_checklist,False,readme_chunk_006,readme,README.md,"Nhóm nộp 1 đường dẫn Repository (GitHub/GitLab) chứa:
1. [ ] **Source Code**: Toàn bộ mã nguồn hoàn chỉnh.
2. [ ] **Reports**: File `reports/summary.json` và `reports/benchmark_results.json` (được tạo ra sau khi chạy `main.py`).
3. [ ] **Group Report**: File `analysis/failure_analysis.md` (đã điền đầy đủ).
4. [ ] **Individual Reports**: Các file `analysis/reflections/reflection_[Tên_SV].md`.

---"
golden_case_012,Tại sao cần phải tính toán hệ số đồng thuận trong Nhóm AI/Backend?,Câu hỏi này nằm ngoài phạm vi thông tin đã cung cấp.,hard,out-of-scope,consensus_importance,True,,,,
golden_case_013,Có thể sử dụng một mô hình Judge duy nhất trong logic đồng thuận không?,"Không, cần ít nhất 2 model Judge khác nhau.",easy,adversarial,single_judge,False,readme_chunk_004,readme,README.md,"- **Consensus logic:** Sử dụng ít nhất 2 model Judge khác nhau. 
- **Calibration:** Tính toán hệ số đồng thuận (Agreement Rate) và xử lý xung đột điểm số tự động."
golden_case_014,Các báo cáo nào cần được tạo ra sau khi chạy 'main.py'?,File 'reports/summary.json' và 'reports/benchmark_results.json'.,medium,fact-check,report_requirements,False,readme_chunk_006,readme,README.md,"Nhóm nộp 1 đường dẫn Repository (GitHub/GitLab) chứa:
1. [ ] **Source Code**: Toàn bộ mã nguồn hoàn chỉnh.
2. [ ] **Reports**: File `reports/summary.json` và `reports/benchmark_results.json` (được tạo ra sau khi chạy `main.py`).
3. [ ] **Group Report**: File `analysis/failure_analysis.md` (đã điền đầy đủ).
4. [ ] **Individual Reports**: Các file `analysis/reflections/reflection_[Tên_SV].md`.

---"
golden_case_015,"Nhóm có cần nộp báo cáo phân tích thất bại không? Nếu có, tên file là gì?","Có, tên file là 'analysis/failure_analysis.md'.",medium,fact-check,failure_analysis_report,False,readme_chunk_006,readme,README.md,"Nhóm nộp 1 đường dẫn Repository (GitHub/GitLab) chứa:
1. [ ] **Source Code**: Toàn bộ mã nguồn hoàn chỉnh.
2. [ ] **Reports**: File `reports/summary.json` và `reports/benchmark_results.json` (được tạo ra sau khi chạy `main.py`).
3. [ ] **Group Report**: File `analysis/failure_analysis.md` (đã điền đầy đủ).
4. [ ] **Individual Reports**: Các file `analysis/reflections/reflection_[Tên_SV].md`.

---"
golden_case_016,Tại sao việc đánh giá câu trả lời mà bỏ qua bước Retrieval lại không thể đạt điểm tối đa?,"Bởi vì nếu không thực hiện bước Retrieval, nhóm sẽ không thể xác định chính xác chunk nào đang gây ra lỗi Hallucination.",easy,fact-check,retrieval_importance,False,readme_chunk_007,readme,README.md,Nhóm nào chỉ đánh giá câu trả lời mà bỏ qua bước Retrieval sẽ không thể đạt điểm tối đa. Bạn cần biết chính xác chunk nào đang gây ra lỗi Hallucination.
golden_case_017,Tại sao việc chỉ tin vào một Judge model là một sai lầm?,Bởi vì điều này không đảm bảo tính khách quan của hệ thống. Việc so sánh nhiều Judge model giúp tính toán độ tin cậy của chúng.,medium,reasoning,judge_reliability,False,readme_chunk_008,readme,README.md,Việc chỉ tin vào một Judge (ví dụ GPT-4o) là một sai lầm trong sản phẩm thực tế. Hãy chứng minh hệ thống của bạn khách quan bằng cách so sánh nhiều Judge model và tính toán độ tin cậy của chúng.
golden_case_018,Làm thế nào để giảm 30% chi phí eval mà không giảm độ chính xác?,"Cần đề xuất các cách tối ưu hóa hiệu năng mà không ảnh hưởng đến độ chính xác, như chạy hệ thống Expert một cách nhanh chóng và hiệu quả.",hard,process,cost_optimization,False,readme_chunk_009,readme,README.md,"Hệ thống Expert phải chạy cực nhanh (Async) và phải có báo cáo chi tiết về ""Giá tiền cho mỗi lần Eval"". Hãy đề xuất cách giảm 30% chi phí eval mà không giảm độ chính xác."
golden_case_019,So sánh tầm quan trọng của Retrieval và đánh giá câu trả lời trong quy trình đánh giá.,"Retrieval là bước cần thiết để xác định nguồn gốc của câu trả lời, trong khi đánh giá câu trả lời là bước cuối cùng để xác nhận chất lượng. Cả hai đều quan trọng nhưng Retrieval là bước đầu tiên không thể thiếu.",medium,comparison,importance_comparison,False,readme_chunk_007|readme_chunk_008,readme,README.md,"Nhóm nào chỉ đánh giá câu trả lời mà bỏ qua bước Retrieval sẽ không thể đạt điểm tối đa. Bạn cần biết chính xác chunk nào đang gây ra lỗi Hallucination.

---

Việc chỉ tin vào một Judge (ví dụ GPT-4o) là một sai lầm trong sản phẩm thực tế. Hãy chứng minh hệ thống của bạn khách quan bằng cách so sánh nhiều Judge model và tính toán độ tin cậy của chúng."
golden_case_020,"Nếu một hệ thống chỉ sử dụng một Judge model, thì điều gì có thể xảy ra?","Hệ thống có thể trở nên thiên lệch và không chính xác trong đánh giá, dẫn đến những quyết định sai lầm.",medium,adversarial,judge_bias,False,readme_chunk_008,readme,README.md,Việc chỉ tin vào một Judge (ví dụ GPT-4o) là một sai lầm trong sản phẩm thực tế. Hãy chứng minh hệ thống của bạn khách quan bằng cách so sánh nhiều Judge model và tính toán độ tin cậy của chúng.
golden_case_021,Có thể nào đạt điểm tối đa mà không thực hiện bước Retrieval không?,"Không, vì bước Retrieval là cần thiết để xác định lỗi và đảm bảo chất lượng đánh giá.",easy,fact-check,max_score_retrieval,False,readme_chunk_007,readme,README.md,Nhóm nào chỉ đánh giá câu trả lời mà bỏ qua bước Retrieval sẽ không thể đạt điểm tối đa. Bạn cần biết chính xác chunk nào đang gây ra lỗi Hallucination.
golden_case_022,Hệ thống Expert cần phải chạy như thế nào để đạt hiệu suất cao?,Hệ thống Expert phải chạy cực nhanh (Async) để đảm bảo hiệu suất tốt.,medium,fact-check,expert_performance,False,readme_chunk_009,readme,README.md,"Hệ thống Expert phải chạy cực nhanh (Async) và phải có báo cáo chi tiết về ""Giá tiền cho mỗi lần Eval"". Hãy đề xuất cách giảm 30% chi phí eval mà không giảm độ chính xác."
golden_case_023,Có những yếu tố nào cần xem xét khi tính toán độ tin cậy của nhiều Judge model?,Cần xem xét sự khác biệt trong đánh giá giữa các Judge model và cách mà chúng tương tác với nhau để đảm bảo tính khách quan.,hard,multi-hop,judge_reliability_factors,False,readme_chunk_008,readme,README.md,Việc chỉ tin vào một Judge (ví dụ GPT-4o) là một sai lầm trong sản phẩm thực tế. Hãy chứng minh hệ thống của bạn khách quan bằng cách so sánh nhiều Judge model và tính toán độ tin cậy của chúng.
golden_case_024,Báo cáo 5 Whys cần chỉ ra lỗi nằm ở đâu?,"Báo cáo 5 Whys phải chỉ ra được lỗi nằm ở Ingestion pipeline, Chunking strategy, Retrieval, hay Prompting.",easy,fact-check,5Whys,False,readme_chunk_010,readme,README.md,"Báo cáo 5 Whys phải chỉ ra được lỗi nằm ở đâu: Ingestion pipeline, Chunking strategy, Retrieval, hay Prompting.

---"
golden_case_025,Hướng dẫn chạy có chứa thông tin gì?,Hướng dẫn chạy chứa mã lệnh bash để thực hiện các bước cần thiết.,medium,fact-check,run_guide,False,readme_chunk_011,readme,README.md,```bash
golden_case_026,Cần cài đặt gì trước khi chạy dự án?,Cần cài đặt dependencies bằng cách sử dụng lệnh pip install -r requirements.txt.,medium,process,installation,False,readme_chunk_012,readme,README.md,pip install -r requirements.txt
golden_case_027,"Nếu tôi không có file requirements.txt, tôi có thể chạy dự án không?",Bạn không thể chạy dự án nếu không có file requirements.txt vì nó chứa danh sách các dependencies cần thiết.,medium,reasoning,requirements_check,False,readme_chunk_012,readme,README.md,pip install -r requirements.txt
golden_case_028,Lỗi nằm ở Chunking strategy có thể được phát hiện như thế nào?,"Câu hỏi này không thể trả lời rõ ràng với thông tin hiện có, cần thêm ngữ cảnh về cách phát hiện lỗi trong Chunking strategy.",hard,out-of-scope,detection_methods,True,,,,
golden_case_029,Có thể sử dụng lệnh nào để cài đặt dependencies?,Có thể sử dụng lệnh pip install -r requirements.txt để cài đặt dependencies.,easy,fact-check,installation_command,False,readme_chunk_012,readme,README.md,pip install -r requirements.txt
golden_case_030,Báo cáo 5 Whys có thể chỉ ra lỗi ở bao nhiêu phần khác nhau?,"Báo cáo 5 Whys có thể chỉ ra lỗi ở 4 phần khác nhau: Ingestion pipeline, Chunking strategy, Retrieval, hay Prompting.",medium,fact-check,error_identification,False,readme_chunk_010,readme,README.md,"Báo cáo 5 Whys phải chỉ ra được lỗi nằm ở đâu: Ingestion pipeline, Chunking strategy, Retrieval, hay Prompting.

---"
golden_case_031,Lệnh nào được sử dụng để tạo Golden Dataset?,Lệnh để tạo Golden Dataset là 'python data/synthetic_gen.py'.,easy,fact-check,dataset_creation,False,readme_chunk_013,readme,README.md,python data/synthetic_gen.py
golden_case_032,"Sau khi tạo Golden Dataset, lệnh nào cần được chạy tiếp theo để thực hiện benchmark?",Lệnh cần chạy để thực hiện benchmark là 'python main.py'.,easy,fact-check,benchmark_execution,False,readme_chunk_014,readme,README.md,python main.py
golden_case_033,So sánh lệnh nào được sử dụng để kiểm tra định dạng trước khi nộp với lệnh tạo Golden Dataset?,"Lệnh kiểm tra định dạng là 'python check_lab.py', khác với lệnh tạo Golden Dataset 'python data/synthetic_gen.py'.",medium,comparison,command_comparison,False,readme_chunk_013|readme_chunk_015,readme,README.md,"python data/synthetic_gen.py

---

python check_lab.py
```

---"
golden_case_034,Quá trình nào cần thực hiện trước khi nộp dữ liệu?,"Trước khi nộp dữ liệu, cần chạy lệnh 'python check_lab.py' để kiểm tra định dạng.",medium,process,submission_process,False,readme_chunk_015,readme,README.md,"python check_lab.py
```

---"
golden_case_035,"Nếu tôi muốn biết cách tạo báo cáo sau khi benchmark, tôi nên tìm thông tin nào?",Thông tin về cách tạo báo cáo sau khi benchmark có thể tìm thấy trong lệnh 'python main.py'.,medium,out-of-scope,report_generation,False,readme_chunk_014,readme,README.md,python main.py
golden_case_036,Có thể sử dụng lệnh nào để kiểm tra định dạng mà không cần chạy lệnh tạo Golden Dataset?,Có thể sử dụng lệnh 'python check_lab.py' để kiểm tra định dạng mà không cần chạy lệnh tạo Golden Dataset.,medium,multi-hop,format_check,False,readme_chunk_013|readme_chunk_015,readme,README.md,"python data/synthetic_gen.py

---

python check_lab.py
```

---"
golden_case_037,"Nếu tôi muốn tìm hiểu về cách chạy benchmark, nhưng không có thông tin trong tài liệu, tôi nên làm gì?","Nếu không có thông tin trong tài liệu về cách chạy benchmark, bạn nên tìm kiếm tài liệu khác hoặc hỏi người có kinh nghiệm.",hard,out-of-scope,external_resources,True,,,,
golden_case_038,"Nếu tôi chạy lệnh 'python check_lab.py', nhưng không thấy lỗi, tôi có thể yên tâm rằng dữ liệu đã sẵn sàng để nộp không?","Không nhất thiết, vì có thể có các vấn đề khác không được phát hiện bởi lệnh kiểm tra định dạng.",hard,adversarial,submission_assurance,False,readme_chunk_015,readme,README.md,"python check_lab.py
```

---"
golden_case_039,Làm thế nào để tạo file `data/golden_set.jsonl`?,Bạn cần chạy lệnh `python data/synthetic_gen.py` trước để tạo file này.,easy,fact-check,file_creation,False,readme_chunk_016,readme,README.md,"- **Bắt buộc** chạy `python data/synthetic_gen.py` trước để tạo file `data/golden_set.jsonl`. File này không được commit sẵn trong repo.
- Trước khi nộp bài, hãy chạy `python check_lab.py` để đảm bảo định dạng dữ liệu đã chuẩn. Bất kỳ lỗi định dạng nào dẫn đến việc script chấm điểm tự động không chạy được sẽ bị trừ 5 điểm thủ tục.
- File `.env` chứa API Key **KHÔNG** được push lên GitHub.

---
*Chúc nhóm bạn xây dựng được một Evaluation Factory thực sự mạnh mẽ!*"
golden_case_040,Tiêu chí nào được sử dụng để đánh giá bài lab cho nhóm?,Bài lab được đánh giá trên thang điểm 100 theo tiêu chuẩn AI Engineering chuyên nghiệp.,easy,fact-check,evaluation_criteria,False,grading_chunk_001,grading,GRADING_RUBRIC.md,"Bài lab dành cho nhóm (4-6 người) được đánh giá trên thang điểm 100 theo tiêu chuẩn AI Engineering chuyên nghiệp.

---"
golden_case_041,So sánh điểm tối đa cho Tiêu chí Chấm điểm EXPERT LEVEL và Điểm Nhóm.,"Tiêu chí Chấm điểm EXPERT LEVEL có thang điểm tối đa 100, trong khi Điểm Nhóm có tối đa 60 điểm.",medium,comparison,score_comparison,False,grading_chunk_001|grading_chunk_002,grading,GRADING_RUBRIC.md,"Bài lab dành cho nhóm (4-6 người) được đánh giá trên thang điểm 100 theo tiêu chuẩn AI Engineering chuyên nghiệp.

---

---

| Hạng mục | Tiêu chí | Điểm |
| :--- | :--- | :---: |
| **Retrieval Evaluation** | - Tính toán thành công Hit Rate & MRR cho ít nhất 50 test cases.<br>- Giải thích được mối liên hệ giữa Retrieval Quality và Answer Quality. | 10 |
| **Dataset & SDG** | - Golden Dataset chất lượng (50+ cases) với mapping Ground Truth IDs.<br>- Có các bộ ""Red Teaming"" phá vỡ hệ thống thành công. | 10 |
| **Multi-Judge consensus** | - Triển khai ít nhất 2 model Judge (ví dụ GPT + Claude).<br>- Tính toán được độ đồng thuận và có logic xử lý xung đột tự động. | 15 |
| **Regression Testing** | - Chạy thành công so sánh V1 vs V2.<br>- Có logic ""Release Gate"" tự động dựa trên các ngưỡng chất lượng. | 10 |
| **Performance (Async)** | - Toàn bộ pipeline chạy song song cực nhanh (< 2 phút cho 50 cases).<br>- Có báo cáo chi tiết về Cost & Token usage. | 10 |
| **Failure Analysis** | - Phân tích ""5 Whys"" cực sâu, chỉ ra được lỗi hệ thống (Chunking, Ingestion, v.v.). | 5 |

---"
golden_case_042,Có cần phải kiểm tra định dạng dữ liệu trước khi nộp bài không?,"Có, bạn cần chạy `python check_lab.py` để đảm bảo định dạng dữ liệu đã chuẩn.",medium,process,data_format_check,False,readme_chunk_016,readme,README.md,"- **Bắt buộc** chạy `python data/synthetic_gen.py` trước để tạo file `data/golden_set.jsonl`. File này không được commit sẵn trong repo.
- Trước khi nộp bài, hãy chạy `python check_lab.py` để đảm bảo định dạng dữ liệu đã chuẩn. Bất kỳ lỗi định dạng nào dẫn đến việc script chấm điểm tự động không chạy được sẽ bị trừ 5 điểm thủ tục.
- File `.env` chứa API Key **KHÔNG** được push lên GitHub.

---
*Chúc nhóm bạn xây dựng được một Evaluation Factory thực sự mạnh mẽ!*"
golden_case_043,"Nếu không chạy lệnh kiểm tra định dạng dữ liệu, điều gì có thể xảy ra?",Bất kỳ lỗi định dạng nào dẫn đến việc script chấm điểm tự động không chạy được sẽ bị trừ 5 điểm thủ tục.,medium,reasoning,consequence_of_error,False,readme_chunk_016,readme,README.md,"- **Bắt buộc** chạy `python data/synthetic_gen.py` trước để tạo file `data/golden_set.jsonl`. File này không được commit sẵn trong repo.
- Trước khi nộp bài, hãy chạy `python check_lab.py` để đảm bảo định dạng dữ liệu đã chuẩn. Bất kỳ lỗi định dạng nào dẫn đến việc script chấm điểm tự động không chạy được sẽ bị trừ 5 điểm thủ tục.
- File `.env` chứa API Key **KHÔNG** được push lên GitHub.

---
*Chúc nhóm bạn xây dựng được một Evaluation Factory thực sự mạnh mẽ!*"
golden_case_044,Có bao nhiêu điểm tối đa cho Tiêu chí 'Retrieval Evaluation'?,Tiêu chí 'Retrieval Evaluation' có tối đa 10 điểm.,easy,fact-check,retrieval_evaluation_score,False,grading_chunk_002,grading,GRADING_RUBRIC.md,"| Hạng mục | Tiêu chí | Điểm |
| :--- | :--- | :---: |
| **Retrieval Evaluation** | - Tính toán thành công Hit Rate & MRR cho ít nhất 50 test cases.<br>- Giải thích được mối liên hệ giữa Retrieval Quality và Answer Quality. | 10 |
| **Dataset & SDG** | - Golden Dataset chất lượng (50+ cases) với mapping Ground Truth IDs.<br>- Có các bộ ""Red Teaming"" phá vỡ hệ thống thành công. | 10 |
| **Multi-Judge consensus** | - Triển khai ít nhất 2 model Judge (ví dụ GPT + Claude).<br>- Tính toán được độ đồng thuận và có logic xử lý xung đột tự động. | 15 |
| **Regression Testing** | - Chạy thành công so sánh V1 vs V2.<br>- Có logic ""Release Gate"" tự động dựa trên các ngưỡng chất lượng. | 10 |
| **Performance (Async)** | - Toàn bộ pipeline chạy song song cực nhanh (< 2 phút cho 50 cases).<br>- Có báo cáo chi tiết về Cost & Token usage. | 10 |
| **Failure Analysis** | - Phân tích ""5 Whys"" cực sâu, chỉ ra được lỗi hệ thống (Chunking, Ingestion, v.v.). | 5 |

---"
golden_case_045,"Nếu tôi không có API Key, tôi có thể nộp bài không?","Không, file `.env` chứa API Key không được push lên GitHub, điều này có thể gây ra vấn đề bảo mật.",hard,adversarial,api_key_security,False,readme_chunk_016,readme,README.md,"- **Bắt buộc** chạy `python data/synthetic_gen.py` trước để tạo file `data/golden_set.jsonl`. File này không được commit sẵn trong repo.
- Trước khi nộp bài, hãy chạy `python check_lab.py` để đảm bảo định dạng dữ liệu đã chuẩn. Bất kỳ lỗi định dạng nào dẫn đến việc script chấm điểm tự động không chạy được sẽ bị trừ 5 điểm thủ tục.
- File `.env` chứa API Key **KHÔNG** được push lên GitHub.

---
*Chúc nhóm bạn xây dựng được một Evaluation Factory thực sự mạnh mẽ!*"
golden_case_046,Tiêu chí nào trong phần Điểm Cá nhân có điểm tối đa là 15?,"Có hai tiêu chí trong phần Điểm Cá nhân có điểm tối đa là 15, đó là Đóng góp cụ thể vào các module phức tạp và Giải thích được các khái niệm như MRR, Cohen's Kappa, Position Bias.",easy,fact-check,criteria_max_points,False,grading_chunk_003,grading,GRADING_RUBRIC.md,"| Hạng mục | Tiêu chí | Điểm |
| :--- | :--- | :---: |
| **Engineering Contribution** | - Đóng góp cụ thể vào các module phức tạp (Async, Multi-Judge, Metrics).<br>- Chứng minh qua Git commits và giải trình kỹ thuật. | 15 |
| **Technical Depth** | - Giải thích được các khái niệm: MRR, Cohen's Kappa, Position Bias.<br>- Hiểu về trade-off giữa Chi phí và Chất lượng. | 15 |
| **Problem Solving** | - Cách giải quyết các vấn đề phát sinh trong quá trình code hệ thống phức tạp. | 10 |

---"
golden_case_047,Quy trình nộp bài bắt đầu bằng bước nào?,Quy trình nộp bài bắt đầu bằng việc chạy `python check_lab.py` để đảm bảo mọi module hoạt động.,easy,process,submission_process,False,grading_chunk_004,grading,GRADING_RUBRIC.md,"1. Chạy `python check_lab.py` để đảm bảo mọi module hoạt động.
2. Nộp Repository link kèm file `reports/summary.json` có chứa cả kết quả Regression.

> [!CAUTION]
> **Điểm liệt:** Nếu nhóm chỉ sử dụng 1 Judge đơn lẻ hoặc không có Metrics đánh giá Retrieval, điểm tối đa phần Nhóm sẽ bị giới hạn ở mức 30 điểm."
golden_case_048,So sánh điểm tối đa của phần Engineering Contribution và phần Problem Solving.,"Điểm tối đa của phần Engineering Contribution là 15 điểm, trong khi điểm tối đa của phần Problem Solving là 10 điểm.",medium,comparison,max_points_comparison,False,grading_chunk_003,grading,GRADING_RUBRIC.md,"| Hạng mục | Tiêu chí | Điểm |
| :--- | :--- | :---: |
| **Engineering Contribution** | - Đóng góp cụ thể vào các module phức tạp (Async, Multi-Judge, Metrics).<br>- Chứng minh qua Git commits và giải trình kỹ thuật. | 15 |
| **Technical Depth** | - Giải thích được các khái niệm: MRR, Cohen's Kappa, Position Bias.<br>- Hiểu về trade-off giữa Chi phí và Chất lượng. | 15 |
| **Problem Solving** | - Cách giải quyết các vấn đề phát sinh trong quá trình code hệ thống phức tạp. | 10 |

---"
golden_case_049,"Nếu nhóm chỉ sử dụng 1 Judge đơn lẻ, điểm tối đa phần Nhóm sẽ bị giới hạn ở mức bao nhiêu?","Nếu nhóm chỉ sử dụng 1 Judge đơn lẻ, điểm tối đa phần Nhóm sẽ bị giới hạn ở mức 30 điểm.",medium,fact-check,limit_points_single_judge,False,grading_chunk_004,grading,GRADING_RUBRIC.md,"1. Chạy `python check_lab.py` để đảm bảo mọi module hoạt động.
2. Nộp Repository link kèm file `reports/summary.json` có chứa cả kết quả Regression.

> [!CAUTION]
> **Điểm liệt:** Nếu nhóm chỉ sử dụng 1 Judge đơn lẻ hoặc không có Metrics đánh giá Retrieval, điểm tối đa phần Nhóm sẽ bị giới hạn ở mức 30 điểm."
golden_case_050,Tại sao tài liệu này được tạo ra cho nhóm Data Engineers?,"Tài liệu này được tạo ra để thiết kế bộ test ""pha ben"" cho Agent, nhằm kiểm tra khả năng chống hallucination và suy luận từ nhiều đoạn văn.",medium,reasoning,purpose_of_document,False,hard_cases_chunk_001,hard_cases,analysis/HARD_CASES_GUIDE.md,"Tai lieu nay duoc tao cho nhom Data Engineers de thiet ke bo test ""pha ben"" cho Agent.
Muc tieu la khong chi kiem tra cau tra loi dung/sai, ma con kiem tra kha nang chong hallucination,
giu context, tu choi khi khong du du lieu, va suy luan tu nhieu doan van."
golden_case_051,"Nếu không có đủ dữ liệu, AI sẽ phản ứng như thế nào theo tài liệu?",AI sẽ từ chối khi không đủ dữ liệu.,hard,adversarial,response_no_data,False,hard_cases_chunk_001,hard_cases,analysis/HARD_CASES_GUIDE.md,"Tai lieu nay duoc tao cho nhom Data Engineers de thiet ke bo test ""pha ben"" cho Agent.
Muc tieu la khong chi kiem tra cau tra loi dung/sai, ma con kiem tra kha nang chong hallucination,
giu context, tu choi khi khong du du lieu, va suy luan tu nhieu doan van."
